Or_ID,C_ID,P_ID,Order_Date,Order_Time,Qty,Coupon_Discount,DP_ID,CName,gender,Age,City,State,created_date,PName,Category,Brand,Price,Revenue,Discount_Amount,Final_Revenue,Month,Day,Age_Group
OR_31000001,CS_11005317,PD_21001301,2025-02-06,13:44:42,3,15,DV_61000087,Isha Boase,Female,19,Udaipur,Rajasthan,2024-06-09,Doloribus Juice,Personal Care,Dabur,142.25,426.75,64.0125,362.7375,February,Thursday,Young
OR_31000002,CS_11000423,PD_21003593,2024-03-06,21:32:50,10,10,DV_61000085,Saksham Khare,Male,51,Raipur,Chhattisgarh,2023-08-15,Temporibus Biscuits,Personal Care,Parle,90.75,907.5,90.75,816.75,March,Wednesday,Senior
OR_31000003,CS_11001042,PD_21004315,2024-06-07,18:54:34,10,0,DV_61000237,Gautami Yohannan,Female,29,Bhilai,Chhattisgarh,2023-03-17,Qui Soap,Home Care,Haldirams,152.27,1522.7,0.0,1522.7,June,Friday,Adult
OR_31000004,CS_11004079,PD_21007443,2024-05-20,07:08:34,9,10,DV_61000292,Raghav Prashad,Male,31,Durg,Chhattisgarh,2024-08-25,Excepturi Milk,Snacks,Parle,599.19,5392.710000000001,539.2710000000001,4853.439000000001,May,Monday,Adult
OR_31000005,CS_11009894,PD_21007621,2025-01-03,15:59:10,4,10,DV_61000096,Tamanna Kothari,Female,68,Bhilai,Chhattisgarh,2023-12-02,Modi Juice,Home Care,Dabur,90.97,363.88,36.38800000000001,327.492,January,Friday,Senior
OR_31000006,CS_11004976,PD_21002407,2025-02-23,14:53:34,10,15,DV_61000162,Urishilla Balasubramanian,Male,57,Ambala,Haryana,2024-12-11,Tenetur Milk,Dairy,Amul,945.2,9452.0,1417.8,8034.2,February,Sunday,Senior
OR_31000007,CS_11009282,PD_21005526,2024-08-13,23:51:01,6,20,DV_61000151,Turvi Bhalla,Female,33,Durgapur,West Bengal,2023-10-12,Sunt Milk,Dairy,Parle,876.78,5260.68,1052.136,4208.544,August,Tuesday,Adult
OR_31000008,CS_11006858,PD_21000111,2024-09-26,04:52:43,9,10,DV_61000078,Ijaya Kuruvilla,Male,28,Ujjain,Madhya Pradesh,2024-02-21,Fuga Biscuits,Snacks,Britannia,727.21,6544.89,654.489,5890.401,September,Thursday,Adult
OR_31000009,CS_11005938,PD_21001544,2024-12-08,03:33:16,6,0,DV_61000018,Arin Mitter,Female,62,Bhilai,Chhattisgarh,2023-09-25,Fugit Juice,Personal Care,Amul,74.71,448.26,0.0,448.26,December,Sunday,Senior
OR_31000010,CS_11005448,PD_21006481,2024-08-01,00:13:58,6,10,DV_61000252,Chavvi Vohra,Male,43,Surat,Gujarat,2024-11-02,Harum Juice,Home Care,Nestle,978.94,5873.64,587.364,5286.276,August,Thursday,Middle
OR_31000011,CS_11009752,PD_21007275,2024-03-27,10:24:43,6,0,DV_61000135,Brijesh Dash,Female,38,Rajkot,Gujarat,2024-04-15,Accusamus Biscuits,Dairy,Amul,571.38,3428.28,0.0,3428.28,March,Wednesday,Middle
OR_31000012,CS_11004980,PD_21009453,2025-02-17,08:53:09,1,20,DV_61000188,Ladli Panchal,Female,43,Ludhiana,Punjab,2025-01-01,Deserunt Soap,Home Care,Haldirams,814.38,814.38,162.876,651.504,February,Monday,Middle
OR_31000013,CS_11007513,PD_21003896,2024-07-30,05:12:20,10,15,DV_61000041,Aahana Bajaj,Female,38,Raipur,Chhattisgarh,2024-07-18,Molestiae Shampoo,Beverages,Amul,453.46,4534.599999999999,680.1899999999998,3854.41,July,Tuesday,Middle
OR_31000014,CS_11007086,PD_21008854,2024-08-06,13:02:12,10,10,DV_61000132,Victor Tank,Female,44,Guwahati,Assam,2024-08-09,Ex Biscuits,Dairy,Britannia,963.77,9637.7,963.77,8673.93,August,Tuesday,Middle
OR_31000015,CS_11007590,PD_21007625,2024-04-12,13:13:49,10,15,DV_61000047,Vansha Brahmbhatt,Female,19,Vijayawada,Andhra Pradesh,2023-10-14,Dolor Milk,Personal Care,Haldirams,867.17,8671.699999999999,1300.755,7370.944999999999,April,Friday,Young
